20.05.2019                                                                                     Saída dinâmica de lista                                                                                             1


		CgDF	OrgV	Dt.fatur.	EmissorOrd	TipFt	PRec	Doc.SD	CDst	SA	Ctg.doc.	Endereço	Nome emissor ordem	Cidade EO	CrtOrdenaç	Numer.	LExp	Status CRR	  Val.líq.	Moeda	Tp.	Nm.tp.DV	Dt.fatur.	TipFt	Status	Grupo

	X	L	1001	07.05.2019	119813	ZVMI	BR	80000004	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	07.05.2019	ZVMI
	X	L	1001	09.05.2019	119813	ZVMI	BR	80000006	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	09.05.2019	ZVMI
	X	L	1001	10.05.2019	119813	ZVMI	BR	80000012	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	10.05.2019	ZVMI
	X	L	1001	14.05.2019	119813	ZVMI	BR	80000013	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	14.05.2019	ZVMI
	X	L	1001	14.05.2019	119813	ZVMI	BR	80000014	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	14.05.2019	ZVMI
	X	L	1001	14.05.2019	119813	ZVMI	BR	80000015	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	14.05.2019	ZVMI
	X	L	1001	14.05.2019	119813	ZVMI	BR	80000018	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	14.05.2019	ZVMI
	X	L	1001	14.05.2019	119813	ZVMI	BR	80000022	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	14.05.2019	ZVMI
	X	L	1001	14.05.2019	119813	ZVMI	BR	80000023	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	14.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000025	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000027	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000055	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000059	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000065	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000066	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000068	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000070	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000071	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000072	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000076	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	15.05.2019	119813	ZVMI	BR	80000080	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	18.000,00	BRL	ZVMI	Entrega MI	15.05.2019	ZVMI
	X	L	1001	16.05.2019	119813	ZVMI	BR	80000088	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	16.05.2019	ZVMI
	X	L	1001	16.05.2019	119813	ZVMI	BR	80000089	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	16.05.2019	ZVMI
